ABS "Agricultural & Bio. Sciences" "Sciences agricoles et biologiques"
ALA "Architecture & Landscape Arch." "Architecture et architecture de paysage"
BCO "Business & Commerce" "Affaires et commerce"
CSC "Computer Science" "Sciences informatiques"
DEN "Dentistry" "Médecine dentaire"
EDU "Education" "Éducation (formation des enseignants)"
ENG "Engineering" "Ingénierie"
FAA "Fine & Applied Arts" "Beaux-arts et arts appliqués"
FOR "Forestry" "Foresterie"
FSN "Food Science & Nutrition" "Sciences alimentaires et nutrition"
HPR "Health Professions" "Autres professions de la santé"
HUM "Humanities" "Sciences humaines"
JOU "Journalism" "Journalisme"
KRP "Kinesiology/Recreation/Phys-Ed" "Kinésiologie, récréologie et éducation physique"
LAW "Law" "Droit"
MAT "Mathematics" "Mathématiques"
MED "Medicine" "Médecine"
NRE "Not reported" "Non reporté"
NUR "Nursing" "Sciences infirmières"
OAS "Other Arts & Science" "Autres programmes en arts et en sciences"
OPT "Optometry" "Optométrie"
PHA "Pharmacy" "Pharmacie"
PSC "Physical Sciences" "Sciences physiques"
SSC "Social Sciences" "Sciences sociales"
THE "Theology" "Théologie"
TRE "Therapy & Rehabilitation" "Thérapie et réadaptation"
VME "Veterinary Medicine" "Médecine vétérinaire"
