"GradYear","Division","Credential","Grads-N","Response-%","Labour-Force-Participation-%","Employment-%","Employment-FT-%","Salary-FT-Related-Mean","Employment-FT-Related-%"
"2011","A","DAA","408","75.2","87.3","83.2","59.3","36015.12","45.1"
"2011","A","OCA","3747","72.6","83.3","85.1","62.9","33132.72","43.2"
"2011","A","OCC","6827","73.6","27.8","79.3","50.3","30953.01","13.5"
"2011","A","OCD","17936","73.8","74.9","84.2","61.2","31392.69","37.8"
"2011","A","OCG","2628","74.2","88.4","83.2","65.5","37785.99","46.3"
"2011","B","DAA","372","75.5","92.9","86.2","78.9","40362.71","66.7"
"2011","B","OCA","4750","75.5","72.4","80.4","66.3","35027.48","47.2"
"2011","B","OCC","2456","70.6","63.1","76.9","54.1","27803.66","32.3"
"2011","B","OCD","11107","71.8","80.6","78.7","63.9","32190.38","45.3"
"2011","B","OCG","3742","67.2","90.5","79","69.5","37409.15","48.9"
"2011","H","DAA","29","72.4","81","94.1","76.5","37259.12","76.5"
"2011","H","OCA","607","72.8","92.8","91","60.5","45486.94","49.5"
"2011","H","OCC","3277","71.8","81.5","87.1","54.9","30528.7","40.3"
"2011","H","OCD","4988","76.2","90.6","87.1","60.9","43300.91","51.6"
"2011","H","OCG","732","70.1","86.7","96.2","78","59509.27","65.2"
"2011","T","DAA","216","77.8","90.5","84.2","79.6","46206.88","73"
"2011","T","OCA","4345","75.2","85.9","82.9","76.1","42028.04","62.8"
"2011","T","OCC","3075","76.2","73.9","83.5","75","35172.37","40"
"2011","T","OCD","6600","73.6","79.9","80.8","73.8","38035.7","51.5"
"2011","T","OCG","809","73.5","89.4","81.2","75","43148.07","56.2"
"2012","A","DAA","518","73.6","87.1","82.5","62","35447.09","49.7"
"2012","A","OCA","3966","69.7","82.8","85.4","62.2","33488.48","42.4"
"2012","A","OCC","6979","71.9","26.4","78.5","48.2","29494.61","11"
"2012","A","OCD","18376","70.3","74.7","85.1","60.9","31618.6","38.3"
"2012","A","OCG","2721","69.6","88","84","64.7","38231.09","45.7"
"2012","B","DAA","434","72.8","91.8","84.5","74.8","38678.35","60"
"2012","B","OCA","4558","70.3","72","79.8","66.4","35083.73","48"
"2012","B","OCC","2574","67.7","62.5","76.2","54.4","27138.86","33.2"
"2012","B","OCD","12266","66.4","81.2","78.9","64.2","31575.65","45.6"
"2012","B","OCG","4076","64.7","87.2","80.4","69.4","37594.31","49.4"
"2012","H","DAA","41","56.1","91.3","85.7","57.1","34933.44","38.1"
"2012","H","OCA","662","70.1","89.9","85.4","57.8","45428.63","45.8"
"2012","H","OCC","3288","67.7","80.7","86.1","55.4","30792.25","41"
"2012","H","OCD","5399","72.5","90.2","87.6","60.7","43026.63","50.9"
"2012","H","OCG","857","71.1","87","95.7","79.4","63526.89","67.9"
"2012","T","DAA","227","79.7","89","85.7","78.9","44775.21","67.7"
"2012","T","OCA","4668","73.8","84.5","84.4","77.1","43182.74","63.1"
"2012","T","OCC","3050","72.7","73.2","81.6","72.2","35616.35","38.4"
"2012","T","OCD","6948","69","78.9","82.6","75.4","38380.62","52.2"
"2012","T","OCG","794","70.3","88.9","81","75","43768.54","58.7"
"2013","A","DAA","696","62.5","83.4","86.8","60.1","34444.66","45.5"
"2013","A","OCA","3963","61.9","84.5","85.5","58.8","34178.11","40.8"
"2013","A","OCC","7446","64.8","28.1","78.7","47.1","29710.46","11.4"
"2013","A","OCD","19207","63","75.7","86.3","57.6","31906.29","36.6"
"2013","A","OCG","2972","61.2","87.7","83.6","60.3","38662.87","43.1"
"2013","B","DAA","600","64.8","91","81.6","67.2","38731.65","55.4"
"2013","B","OCA","4427","64.1","73.3","82.5","64.7","35715.34","46.3"
