S1	Analyses des données numériques: La collecte et l’analyse de données numériques.
-> L1	Effectuer des comparaisons numériques simples (p. ex., identifier la plus élevée entre deux valeurs)
-> L2	Calculer des sommaires numériques simples (p. ex., moyennes mensuelles, taux de rendement moyens du capital investi)
-> L3	Calculer les moyennes de séries de valeurs, les comparer à l’échelle acceptable et tirer des conclusions à partir des résultats (p. ex., utiliser des statistiques pour le contrôle de la qualité, appliquer les principes des probabilités)
-> L4	Calculer des statistiques descriptives appropriées (p. ex., utiliser les statistiques tirées d’états financiers pour comparer le rendement d’une entreprise avec celui d’autres entreprises semblables); Analyser des différences de taux (p. ex., taux de croissance démographique)
-> L5	Effectuer des analyses et tester des hypothèses en utilisant des modèles mathématiques; Tenir compte de l’incidence de différentes variables lors d’analyses et de calculs (p. ex., utiliser les informations sur les taux d’intérêt, les événements politiques et l’économie mondiale lors de l’analyse des investissements); Faire des extrapolations en utilisant les données appropriées (p. ex., déterminer les taux de rendement d’un régime de retraite en utilisant les données sur les cotisations annuelles)

S2	Prise de décisions: La prise de décisions de tout genre, en se fondant sur des informations appropriées.
-> L1	Prendre une décision dans une situation où on connaît tous les renseignements pertinents; qui ne requiert qu’un jugement limité; et pour laquelle les décisions peuvent facilement être renversées; Suivre un processus standard où les exceptions sont clairement définies; Utiliser comme modèles des décisions similaires prises par le passé
-> L2	Prendre une décision dans une situation où on connaît presque tous les renseignements pertinents; qui requiert un certain jugement; où les erreurs ont des conséquences mineures; et pour laquelle les décisions peuvent être renversées avec peu de complications ou de frais; Suivre un processus standard où les exceptions nécessitent une certaine interprétation; Utiliser comme modèles des décisions comparables prises par le passé
-> L3	Prendre une décision dans une situation où quelques renseignements sont incertains; qui requiert un bon jugement; où les erreurs ont des conséquences importantes mais peuvent être corrigées; et pour laquelle les décisions ne peuvent être renversées qu’avec beaucoup de difficulté; Suivre un processus standard qui permet une grande latitude pour l’interprétation personnelle; Utiliser comme modèles des décisions assez similaires prises par le passé;
-> L4	Prendre une décision dans une situation où d’importants renseignements ne sont pas connus; qui requiert un excellent jugement; où les erreurs ont des conséquences importantes qui ne peuvent pas être corrigées ou qui ne peuvent être corrigées qu’à grands frais; et pour laquelle les décisions ne peuvent pas être renversées ou peuvent être renversées mais avec beaucoup de difficulté ou de frais; Prendre une décision dans une situation où il n’existe aucun processus établi ou aucun modèle de décisions similaires pour s’orienter; Prendre une décision dans une situation où il n’existe aucun processus établi ou aucun modèle de décisions similaires pour s’orienter

