Institution Type,Institution Code,Institution Name,Street Address,City and Province,Postal Code,Telephone,Admissions,Fax,Website
University,ALGM,Algoma University,1520 Queen St E,Sault Ste Marie ON,P6A 2G4,Telephone: 705-949-2301,Admissions: 1-888-254-6628,Fax: 705-949-6583,www.algomau.ca
University,BRCK,Brock University ,500 Glenridge Ave ,St. Catharines ON,L2S 3A1,Telephone: 905-688-5550 ,Admissions: 905-688-5550 ext 3431,Fax: 905-988-5488,www.brocku.ca
University,CARL,Carleton University,1125 Colonel By Dr ,Ottawa ON,K1S 5B6,Telephone: 613-520-7400 ,Admissions: 613-520-3663,Fax: 613-520-4455,www.carleton.ca
University,LAKE,Lakehead University ,955 Oliver Rd ,Thunder Bay ON,P7B 5E1,Telephone: 807-343-8110 ,Admissions: 807-343-8500,Fax: 807-343-8023,www.lakeheadu.ca
University,LAUR,Laurentian University ,935 Ramsey Lake Rd ,Sudbury ON,P3E 2C6,Telephone: 705-675-1151 ,Admissions: 705-675-4843,Fax: 705-675-4891,www.laurentian.ca
University,MAC,McMaster University ,1280 Main St W ,Hamilton ON,L8S 4L8,Telephone: 905-525-9140 ,Admissions: 905-525-9140 ext 24796,Fax: 905-527-1105,www.mcmaster.ca
University,NIPS,Nipissing University ,100 College Dr PO Box 5002 ,North Bay ON,P1B 8L7,Telephone: 705-474-3450,,Fax: 705-474-1947,www.nipissingu.ca
University,OCAD,OCAD University ,100 McCaul St ,Toronto ON,M5T 1W1,Telephone: 416-977-6000 ,Admissions: 416-977-6000 ext 4869,Fax: 416-977-6006,www.ocadu.ca
University,QUEN,Queen's University ,99 University Ave,Kingston ON,K7L 3N6,Telephone: 613-533-2000 ,Admissions: 613-533-2218,Fax: 613-533-6810,www.queensu.ca
University,RYER,Ryerson University ,350 Victoria St ,Toronto ON,M5B 2K3,Telephone: 416-979-5000 ,Admissions: 416-979-5036,Fax: 416-979-5221,www.ryerson.ca
University,TRNT,Trent University,1600 West Bank Dr ,Peterborough ON,K9J 7B8,Telephone: 705-748-1011 ,Admissions: 705-748-1215,Fax: 705-748-1629,www.trentu.ca
University,GUEL,University of Guelph ,50 Stone Rd E ,Guelph ON,N1G 2W1,Telephone: 519-824-4120 ,Admissions: 519-821-2130,Fax: 519-766-9481,www.uoguelph.ca
University,HRST,University of Hearst,60 Ninth Street,Hearst ON,P0L 1N0,Telephone: 705-372-1781,Admissions: 705-372-1781 ext. 224,Fax: 705-362-7518,www.uhearst.ca
University,UOIT,University of Ontario Institute of Technology,2000 Simcoe St N,Oshawa ON,L1H 7K4,Telephone: 905-721-8668,,Fax: 905-721-3178,www.uoit.ca
University,OTTW,University of Ottawa ,75 Laurier Ave E ,Ottawa ON,K1N 6N5,Telephone 613-562-5700,Admissions: 613-562-5700 ext 5315 ,Fax: 613-562-5323,www.uottawa.ca
University,UOFT,University of Toronto ,27 King's College Circle ,Toronto ON,M5S 1A1,Telephone: 416-978-2011 ,Admissions: 416-978-2190,Fax: 416-978-6089,www.utoronto.ca
University,WATR,University of Waterloo ,200 University Ave W ,Waterloo ON,N2L 3G1,Telephone: 519-885-1211,Admissions: 519-888-4567 ext 33106,Fax: 519-746-2882,www.uwaterloo.ca
University,WIND,University of Windsor ,401 Sunset Ave ,Windsor ON,N9B 3P4,Telephone: 519-253-3000 ,Admissions: 519-253-3000 ext 3315,Fax: 519-971-3653,www.uwindsor.ca
University,WEST,Western University,1151 Richmond St ,London ON,N6A 3K7,Telephone: 519-661-2111 ,Admissions: 519-661-2100,Fax: 519-661-3388,www.westernu.ca
University,WLU,Wilfrid Laurier University ,75 University Ave W ,Waterloo ON,N2L 3C5,Telephone: 519-884-1970 ,Admissions: 519-884-1970 ext 3351,Fax: 519-884-8826,www.wlu.ca
University,YORK,York University ,4700 Keele St ,Toronto ON,M3J 1P3,Telephone: 416-736-2100 ,Admissions: 416-736-5000,Fax: 416-736-5536,www.yorku.ca
University,NOSM,Northern Ontario School of Medicine,Ramsey Lake Rd,"Sudbury, ON ",P3E 2C6 ,Telephone: 705-675-1151,,,www.nosm.ca
College,ALGO,Algonquin College,1385 Woodroffe Ave,Nepean ON ,K2G 1V8,Telephone: 613-727-4723 or 1-800-565-4723,Admissions: 613-727-0002,Fax: 613-727-7754,www.algonquincollege.com
College,CAMB,Cambrian College,1400 Barrydowne Rd,Sudbury ON ,P3A 3V8,Telephone: 705-566-8101 or 1-800-461-7145,Admissions: 705-524-7300,Fax: 705-524-7334,www.cambriancollege.ca
College,CANA,Canadore College,100 College Dr PO Box 5001,North Bay ON ,P1B 8K9,Telephone: 705-474-7600 or 1 855 495-7915,"Admissions: 705-474-7600, ext 5123",Fax: 705-494-2384,www.canadorecollege.ca
College,CENT,Centennial College,PO Box 631 Stn A,Toronto ON ,M1K 5E9,Telephone: 416-289-5000 or 1-800-268-4419 (Ontario only),Admissions: 416-289-5300,Fax: 416-289-5279,www.centennialcollege.ca
College,BORE,Collège Boréal,"21, boul Lasalle",Sudbury ON ,P3A 6B1,Telephone: 705-560-6673 or 1-800-361-6673,"Admissions: 1-800-361-6673, ext 1090",Fax: 705-560-7641,www.collegeboreal.ca
College,CONS,Conestoga College,299 Doon Valley Dr,Kitchener ON ,N2G 4M4,Telephone: 519-748-5220,"Admissions: 519-748-5220, ext 3656",Fax: 519-895-1097,www.conestogac.on.ca
College,CONF,Confederation College,1450 Nakina Dr PO Box 398 Stn F,Thunder Bay ON ,P7C 4W1,Telephone: 807-475-6110 or 1-800-465-5493,Admissions: 807-475-6213 or 1-800-263-9415 (Ontario and Manitoba),Fax: 807-473-3731,www.confederationc.on.ca
College,DURH,Durham College,2000 Simcoe St N,Oshawa ON ,L1H 7K4,Telephone: 905-721-2000,Admissions: 905-721-3000,Fax: 905-721-3113,www.durhamcollege.ca
College,FANS,Fanshawe College,1001 Fanshawe College Blvd,London ON ,N5Y 5R6,Telephone: 519-452-4430,Admissions: 519-452-4277,Fax: 519-452-4420,www.fanshawec.ca
College,SSFL,Fleming College,599 Brealey Dr,Peterborough ON ,K9J 7B1,Telephone: 705-749-5530 or 1-866-353-6464,Admissions: 705-749-5514,Fax: 705-749-5507,www.flemingcollege.ca
College,GRBR,George Brown College,PO Box 1015 Stn B,Toronto ON ,M5T 2T9,Telephone: 416-415-2000 or 1-800-265-2002,Admissions:  416-415-5000 ext 4805,Fax: 416-415-4993,www.georgebrown.ca
College,GEOR,Georgian College,1 Georgian Dr,Barrie ON ,L4M 3X9,Telephone: 705-728-1968,Admissions: 705-722-1511,Fax: 705-722-5118,www.georgiancollege.ca
College,LACI,La Cité collégiale,801 Promenade de l’Aviation,Ottawa ON ,K1K 4R3,Telephone: 613-742-2483 or 1-800-267-2483,,Fax: 613-742-2481,www.lacitec.on.ca
College,LAMB,Lambton College,1457 London Rd,Sarnia ON ,N7S 6K4,Telephone: 519-542-7751,Admissions: 519-542-7751 ext 2403,Fax: 519-541-2426,www.lambtoncollege.ca
College,LOYT,Loyalist College,376 Wallbridge-Loyalist Rd PO Box 4200,Belleville ON ,K8N 5B9,Telephone: 613-969-1913 or 1-888-569-2547,"Admissions: 613-969-1913, ext 2204",Fax: 613-962-1376,www.loyalistcollege.com
College,MOHA,Mohawk College,135 Fennell Ave W PO Box 2034,Hamilton ON ,L8N 3T2,Telephone: 905-575-1212 or 1-866-410 4795,Admissions: 905-575-2000,Fax: 905-575-2378,www.mohawkcollege.ca
College,NIAG,Niagara College,300 Woodlawn Rd,Welland ON ,L3C 7L3,Telephone: 905-735-2211,"Admissions: 905-735-2211, ext 7619",Fax: 905-736-6000,www.niagaracollege.ca
College,NORT,Northern College,4715 Hwy 101 E PO Box 3211,Timmins ON ,P4N 8R6,Telephone: 705-235-3211,Admissions: 705-235-7222 or 1-866-736-5877,Fax: 705-235-7279,www.northernc.on.ca
College,STCL,St. Clair College,2000 Talbot Rd W,Windsor ON ,N9A 6S4,Telephone: 519-966-1656 or 1-800-387-0524,Admissions: 519-972-2759,Fax: 519-972-3811,www.stclaircollege.ca
College,SLAW,St. Lawrence College,100 Portsmouth Ave,Kingston ON ,K7L 5A6,Telephone: 613-544-5400,Admissions: 1-800-463 0752,Fax: 613-545-3923,www.stlawrencecollege.ca
College,SAUL,Sault College,443 Northern Ave PO Box 60,Sault Ste. Marie ON ,P6A 5L3,Telephone: 705-759-2554 or 1-800-461-2260,Admissions: 705-759-6700 or 1-800-461-2260,Fax: 705-759-3273,www.saultcollege.ca
College,SENE,Seneca College,1750 Finch Ave E,North York ON ,M2J 2X5,Telephone: 416-491-5050,"Admissions: 416-491-5050, ext 22800",Fax: 416-493-3958,www.senecac.on.ca
College,SHER,Sheridan College,1430 Trafalgar Rd,Oakville ON ,L6H 2L1,Telephone: 905-845-9430,Admissions: 905-845-9430,Fax: 905-845-4148,www.sheridancollege.ca
College,HUMB,Humber College,205 Humber College Blvd,Toronto ON,M9W 5L7,Telephone: 416-675-3111,Admissions: 416-675-5000,Fax: 416-675-2427,www.humber.ca
