INSTITUTION,INSTITUTION_NAME,INSTITUTION_TYPE_CODE,INSTITUTION_TYPE_EN_DESC,POSTAL_CODE,UNIV,MAIN
ALGO,Algonquin College,35046002,Ottawa Valley - Pembroke Campus,K8A0C8,0,0
ALGO,Algonquin College,35046003,Heritage Institute - Perth Campus,K7H1X7,0,0
ALGO,Algonquin College,35046001,Woodroffe Campus,K2G1V8,0,1
ALGO,Algonquin College,35046005,255 Albert,K1P6A9,0,0
BORE,Collège Boréal,35043003,New Liskeard,P0J1P0,0,0
BORE,Collège Boréal,35043008,New Liskeard - Alfred,K0B1A0,0,0
BORE,Collège Boréal,35043002,Kapuskasing,P5N1J6,0,0
BORE,Collège Boréal,35043006,Hearst,P0L1N0,0,0
BORE,Collège Boréal,35043007,Toronto,M5E1E5,0,0
BORE,Collège Boréal,35043005,Timmins,P4N0A7,0,0
BORE,Collège Boréal,35043004,Nipissing,P2B1N3,0,0
BORE,Collège Boréal,35043001,Main Campus,P3A6B1,0,1
CAMB,Cambrian College,,Manitoulin Campus,P0P1K0,0,0
CAMB,Cambrian College,,Espanola Campus,P5E1S6,0,0
CAMB,Cambrian College,35047001,Sudbury,P3A3V8,0,1
CAMB,Cambrian College,35047005,Hanson - Brampton Campus,L6T4B5,0,0
CAMB,Cambrian College,35047004,Hanson - York Campus,M2J0A3,0,0
CANA,Canadore College,35073004,Parry Sound Campus,P2A0A9,0,0
CANA,Canadore College,,North Bay Campus,P1B8K9,0,0
CANA,Canadore College,35073002,Aviation Campus,P1B9N8,0,0
CANA,Canadore College,35073001,College Drive Campus,P1B8K9,0,1
CANA,Canadore College,35073003,Commerce Court Campus,P1B8G4,0,0
CANA,Canadore College,35073010,First Nations Technical Institute,K0K1X0,0,0
CANA,Canadore College,35073007,Fort Francis,P9A3M6,0,0
CANA,Canadore College,35073009,Kenjgewin Ted Education Institute,P0P1G0,0,0
CANA,Canadore College,35073006,On-line program Delivery,P1B8K9,0,0
CENT,Centennial College,,Story Arts Centre,M4K3M2,0,0
CENT,Centennial College,35048006,Centennial College Residence Conference Centre,M1G3T8,0,0
CENT,Centennial College,,Pickering Learning Site,L1V3P2,0,0
CENT,Centennial College,35048010,Ashtonbee Campus,M1L4C9,0,0
CENT,Centennial College,,Midland Campus,M1P2R7,0,0
CENT,Centennial College,,Morningside Campus,M1C5J9,0,0
CENT,Centennial College,35048001,Progress Campus,M1G3T8,0,1
CENT,Centennial College,35048003,Centennial Science and Technology Centre,M1C5J9,0,0
CENT,Centennial College,35048002,Centre for Creative Communications,M4K3M2,0,0
CONS,Conestoga College,35051003,Waterloo,N2J2W2,0,0
CONS,Conestoga College,35051005,Stratford,N5A1J7,0,0
CONS,Conestoga College,35051006,Ingersoll,N5C3J7,0,0
CONS,Conestoga College,35051002,Guelph,N1H0A8,0,0
CONS,Conestoga College,35051004,Cambridge,N1R6P9,0,0
CONS,Conestoga College,,Cambridge,N3H0A8,0,0
CONS,Conestoga College,35051007,Brantford,N3T2K7,0,0
CONS,Conestoga College,35051001,Doon,N2G4M4,0,1
CONF,Confederation College,35052001,Thunder Bay,P7C4W1,0,1
CONF,Confederation College,35052003,Distance Education,P7C4W1,0,0
CONF,Confederation College,35052005,Dryden,P8N3L4,0,0
CONF,Confederation College,35052004,Lake of Woods,P9N3X7,0,0
CONF,Confederation College,35052002,Rainy River District Campus,P9A3T8,0,0
DURH,Durham College,35053003,Whitby Campus,L1N6A7,0,0
DURH,Durham College,35053001,Main Campus - Oshawa Campus,L1H7K4,0,1
DURH,Durham College,35053002,Pickering Learning Site,L1V0C4,0,0
FANS,Fanshawe College,,Woodstock/Oxford Regional Campus,N4V1A3,0,0
FANS,Fanshawe College,35054003,St. Thomas / Elgin Campus,N5R6A7,0,0
FANS,Fanshawe College,,Simcoe/Norfolk Regional Campus,N3Y4K8,0,0
FANS,Fanshawe College,35054001,London,N5Y5R6,0,1
FANS,Fanshawe College,35054002,James N. Allan Campus,N3Y4K8,0,0
FANS,Fanshawe College,35054004,Oxford County Campus,N4V1A3,0,0
SSFL,Sir Sandford Fleming College,35069003,Haliburton,K0M1S0,0,0
SSFL,Sir Sandford Fleming College,35069002,Frost,K9V5E6,0,0
