"Trade Name" "Trade Code" Sector Classification "CofQ Exam?"
"Aboriginal Child Development Practitioner" 620B Service Voluntary No
"Agricultural - Dairy Herdsperson" 640D Service Voluntary No
"Agricultural - Fruit Grower" 640F Service Voluntary No
"Agricultural - Swine Herdsperson" 640S Service Voluntary No
"Agricultural Equipment Technician" 425A "Motive Power" Voluntary Yes
"Alignment and Brakes Technician" 310E "Motive Power" Compulsory Yes
"Appliance Service Technician" 445A Service Voluntary Yes
Arborist 444A Service Voluntary Yes
"Architectural Glass and Metal Technician" 424A Construction Voluntary Yes
"Assistant Cook" 415B Service Voluntary No
"Auto Body and Collision Damage Repairer" 310B "Motive Power" Compulsory Yes
"Auto Body Repairer" 310Q "Motive Power" Compulsory Yes
"Automotive Electronic Accessory Technician" 310K "Motive Power" Compulsory Yes
"Automotive Glass Technician" 274L "Motive Power" Voluntary No
"Automotive Painter" 410N "Motive Power" Voluntary Yes
"Automotive Service Technician" 310S "Motive Power" Compulsory Yes
Baker 423A Service Voluntary No
"Baker-Patissier" 423C Service Voluntary Yes
"Bearings Mechanic" 615A Industrial Voluntary No
Blacksmith 600P Industrial Voluntary No
"Brick and Stone Mason" 401A Construction Voluntary Yes
Cabinetmaker 438A Industrial Voluntary Yes
"Cement (Concrete) Finisher" 244G Construction Voluntary No
Chef 415C Service Voluntary No
"Child and Youth Worker" 620A Service Voluntary No
"Child Development Practitioner" 620C Service Voluntary No
"Composite Structures Technician" 267G Industrial Voluntary No
"Computer Numerical Control (CNC) Programmer" 670C Industrial Voluntary No
"Concrete Pump Operator" 637C Construction Voluntary Yes
"Construction Boilermaker" 428A Construction Voluntary Yes
"Construction Craft Worker" 450A Construction Voluntary Yes
"Construction Millwright" 426A Construction Voluntary Yes
Cook 415A Service Voluntary Yes
"Developmental Services Worker" 620D Service Voluntary No
"Die Designer" 670D Industrial Voluntary No
"Draftsperson - Mechanical" 614A Industrial Voluntary No
"Draftsperson  Plastic Mould Design" 614B Industrial Voluntary No
"Draftsperson - Tool and Die Design" 614C Industrial Voluntary No
"Drywall Finisher and Plasterer" 453A Construction Voluntary Yes
"Drywall, Acoustic and Lathing Applicator" 451A Construction Voluntary Yes
"Educational Assistant" 620E Service Voluntary No
"Electric Motor System Technician" 446A Industrial Voluntary Yes
"Electrical Control (Machine) Builder" 617A Industrial Voluntary No
"Electrician  Construction and Maintenance" 309A Construction Compulsory Yes
"Electrician - Domestic and Rural" 309C Construction Compulsory Yes
"Electrician (Signal Maintenance)" 289F Industrial Voluntary No
"Electronic Service Technician" 416E Service Voluntary No
"Elevating Devices Mechanic" 636E Industrial Voluntary Yes
