ouac_top_code|ouca_cat_code|description_en
1|1|Forestry & Arboriculture
1|2|Others in Veterinary Sciences, Agriculture & Related Subjects
1|3|Food & Beverage Studies
1|4|Animal Science
1|5|Agriculture Sciences
1|6|Agriculture
2|7|Planning (Urban, Rural & Regional)
2|8|Others in Architecture, Building & Planning
2|9|Landscape & Garden Design
2|10|Architecture
3|11|Psychology
3|12|Sport & Exercise Science
3|13|Zoology
3|14|Others in Biological Sciences
3|15|Molecular Biology, Biophysics & Biochemistry
3|15|Botany
3|17|Genetics
3|18|Microbiology
3|19|Biology
4|20|Management Studies
4|21|Marketing
4|22|Others in Business & Administrative Studies
4|23|Human Resource Management
4|24|Hospitality, Leisure, Sport, Tourism & Transport
4|25|Business Studies
4|26|Finance
4|27|Accounting
5|28|Information Systems
5|29|Others in Computer Sciences
5|30|Software Engineering
5|31|Health Informatics
5|32|Games
5|33|Computer Generated Visual & Audio Effects
5|34|Computer Science
5|35|Artificial Intelligence
6|36|Imaginative Writing
6|37|Music
6|38|Others in Creative Arts & Design
6|39|Paper Crafts
6|40|Fine Art
6|41|Drama
6|42|Crafts
6|43|Dance
6|44|Design Studies
6|45|Cinematics & Photography
7|46| Others in Education
7|47|Academic Studies in Education
8|48|Others in Engineering
8|49|Production & Manufacturing Engineering
8|50|Mechanical Engineering
8|51|Electronic & Electrical Engineering
8|52|Chemical, Process & Energy Engineering
8|53|Civil Engineering
8|54|Aerospace Engineering
9|55|Philosophy
9|56|Theology & Religious Studies
9|57|Others in Historical & Philosophical Studies
9|58|History
9|59|Heritage Studies
9|60|Archaeology
10|61|Languages
10|62|Linguistics, Literatures, Cultures & Societies
11|63|Other Asian Studies
11|64|Others in Eastern, Asiatic, African, American, Australasian, Languages, Literature & Related Subjects
11|65|Modern Middle Eastern Studies
11|66|Linguistics
11|67|Latin Studies
11|68|Others in European Languages, Literature & Related Subjects
11|69|Others in Linguistics, Classics & Related Subjects
11|70|Spanish Studies
11|71|South Asian Studies
11|72|Russian & East European Studies
11|73|Portuguese Studies
11|74|Japanese Studies
11|75|Italian Studies
11|76|Chinese Studies
11|77|Classical Greek Studies
11|78|Celtic Studies
11|79|Ancient Language Studies
11|80|North and South American Studies
11|81|Classical Studies
11|82|Comparative Literary Studies
11|83|German Studies
11|84|French Studies
11|85|European Studies
11|86|English Studies
11|87|African Studies
12|88|Publicity Studies
12|89|Publishing
12|90|Others in Mass Communications & Documentation
12|91|Media Studies
12|92|Journalism
12|93|Information Services
13|94|Statistics
13|95|Others in Mathematical Sciences
13|96|Operational Research
13|97|Mathematics
14|98|Ophthalmics
14|99|Others in Subjects Related to Medicine
14|100|Pharmacology, Toxicology & Pharmacy
14|101|Nutrition
14|102|Nursing
14|103|Complementary Medicines, Therapies & Well-Being
14|104|Medical Technology
14|105|Anatomy, Physiology & Pathology
15|106|Physical Geographical Sciences
15|107|Physics
15|108|Science of Aquatic & Terrestrial Environments
15|109|Others in Physical Sciences
15|110|Materials Science
15|111|Chemistry
15|112|Forensic & Archaeological Sciences
15|113|Geology
15|114|Astronomy
16|115|Politics
16|116|Social Policy
16|117|Social Work
16|118|Sociology
16|119|Others in Social Studies
16|120|Law & Criminology
16|121|Development Studies
16|122|Economics
16|123|Environmental Studies
16|124|Human & Social Geography
16|125|Anthropology
17|126|Polymers & Textiles
17|127|Others in Materials Technology
17|128|Minerals Technology
17|129|Ceramics & Glass
