By The Numbers Report Builder - Generated Report
Data Source: WSIB Enterprise Information Warehouse.
Data Maturity: As at March 31st of the following year for each injury/illness year.
Data Notation: Includes data for Allowed Lost Time claims only.
Data Notation: Includes data for Schedule 1 and 2 combined.
Other Notes: This data is licensed to you under the Government of Ontario's Open Data License https://www.ontario.ca/page/ontarios-open-data-directive#section-8 and subject to the provisions described therein.

Occupation,2011,2012,2013,2014,2015,2016,
" Occupation not stated","0","0","0","0","1","0",
"Administrative and regulatory occupations","325","311","362","360","358","371",
"Administrative services managers","60","66","63","51","46","43",
"Administrative support clerks","142","120","118","120","88","97",
"Agriculture and horticulture workers","407","428","488","479","475","500",
"Announcers and other performers","1","1","3","2","1","1",
"Architects, urban planners and land surveyors","30","28","29","25","21","22",
"Assisting Occupations in Support of Health Services","2350","2720","2321","2664","2695","2947",
"Athletes, coaches, referees and related occupations","186","193","163","203","208","212",
"Auditors, accountants and investment professionals","72","59","64","70","53","67",
"Butchers and bakers","230","226","241","212","194","229",
"Carpenters and cabinetmakers","634","628","643","706","676","668",
"Cashiers","499","428","375","428","379","455",
"Central control & process operators in manufacturing & processing","78","37","46","38","42","39",
"Chefs and cooks","1007","1113","1043","1101","998","1127",
"Childcare and home support workers","1704","1847","1923","1615","1658","1941",
"Civil, mechanical, electrical and chemical engineers","29","53","36","36","39","33",
"Cleaners","3045","2919","2801","2861","2615","2709",
"Clerical occupations, general office skills","416","374","412","346","363","330",
"Clerical supervisors","176","135","144","183","151","163",
"College and other vocational instructors","42","41","42","46","41","24",
"Contractors and supervisors, trades and related workers","288","272","295","275","225","275",
"Contractors, operators & supervisors in agriculture, horticulture & aquaculture","123","135","151","175","158","155",
"Crane operators, drillers and blasters","75","78","49","71","68","54",
"Creative and performing artists","12","24","19","14","22","27",
"Creative designers and craftpersons","35","19","35","24","30","22",
"Electrical trades and telecommunication occupations","680","656","676","646","584","616",
"Elemental medical and hospital assistants","274","265","195","203","199","219",
"Facility operation and maintenance managers","75","82","69","71","67","56",
"Finance and insurance administrative occupations","25","24","24","24","20","21",
"Finance and insurance clerks","163","132","181","134","129","107",
"Fishing vessel masters and skippers and fishermen/women","3","5","5","6","5","3",
"Food counter attendants and kitchen helpers","1110","1007","1142","1004","1224","1338",
"Heavy equipment operators","411","343","361","386","371","375",
"Human resources and business service professionals","70","60","68","47","67","47",
"Insurance and real estate sales occupations and buyers","169","144","149","138","113","122",
"Judges, lawyers and quebec notaries","5","7","18","14","10","8",
"Labourers in Processing, Manufacturing and Utilities","2846","3113","2665","2498","2520","3146",
"Legislators and senior management","30","35","35","46","26","37",
"Librarians, archivists, conservators and curators","15","22","21","20","17","21",
"Library, correspondence and related information clerks","717","567","600","554","461","517",
"Life science professionals","32","32","24","14","19","9",
"Logging and forestry workers","61","38","40","26","41","33",
"Logging machinery operators","17","8","13","12","14","7",
"Longshore workers and material handlers","1949","1926","1868","1770","1636","1822",
"Machine operators & related workers in chemical, plastic & rubber processing","428","321","343","370","334","354",
"Machine operators & related workers in fabric, fur & leather products manufacturing","44","52","52","42","38","46",
"Machine operators & related workers in food, beverage, & tobacco processing","347","295","312","232","232","235",
"Machine operators & related workers in metal & mineral products processing","208","210","178","210","170","184",
"Machine operators & related workers in pulp & paper production & wood processing","99","65","77","87","82","103",
"Machine operators & related workers in textile processing","43","37","36","37","24","30",
"Machinery & transportation equipment mechanics (except motor vehicle)","785","734","753","718","734","759",
"Machining, metalworking, woodworking & related machine operators","981","1017","885","863","828","859",
"Machinists and related occupations","274","332","297","252","220","210",
"Mail and message distribution occupations","1132","1138","1219","1322","1206","1251",
"Managers in art, culture, recreation and sport","18","16","14","7","9","8",
"Managers in communications (except broadcasting)","10","14","17","16","10","12",
"Managers in construction and transportation","51","46","73","90","104","79",
"Managers in engineering, architecture, science and information systems","16","17","15","19","14","15",
"Managers in financial and business services","16","5","7","3","6","8",
"Managers in food service and accommodation","147","159","173","196","164","236",
"Managers in health, education, social and community services","122","95","109","100","114","129",
"Managers in manufacturing and utilities","34","31","28","32","31","37",
"Managers in other services","39","26","38","16","15","21",
"Managers in primary production (except agriculture)","1","0","1","0","2","1",
"Managers in protective service","15","28","17","18","16","11",
"Managers in public administration","36","24","25","38","32","31",
"Managers in retail trade","621","560","518","479","472","534",
"Masonry and plastering trades","303","292","309","309","305","300",
"Mathematicians, systems analysts and computer programmers","105","82","82","97","79","82",
"Mechanical, electrical and electronics assemblers","1097","1025","889","895","754","829",
"Medical technologists and technicians (except dental health)","183","180","177","188","139","175",
"Metal forming, shaping and erecting occupations","808","880","822","775","749","734",
"Mine service workers and operators in oil and gas drilling","67","42","17","38","28","19",
"Motor vehicle and transit drivers","3983","3897","4004","4063","3690","4141",
"Motor vehicle mechanics","1174","1146","1203","1196","1236","1251",
"Nurse supervisors and registered nurses","1327","1339","1181","1095","965","1052",
"Occupation not stated","1416","1362","1107","608","775","2296",
"Occupations in food and beverage service","617","709","646","677","629","658",
"Occupations in travel and accommodation","367","345","340","324","318","351",
"Office equipment operators","51","45","28","31","21","17",
"Optometrists, chiropractors & other health diagnosing & treating professionals","0","1","4","2","0","3",
"Other assembly and related occupations","400","392","358","388","340","416",
"Other attendants in travel, accommodation and recreation","143","141","153","161","163","173",
"Other construction trades","352","438","430","450","435","470",
"Other elemental service occupations","293","215","192","254","233","259",
"Other engineers","20","41","18","21","27","29",
"Other fishing and trapping occupations","4","2","9","6","1","6",
"Other installers, repairers and servicers","554","513","587","558","587","620",
"Other mechanics","232","207","164","181","146","126",
"Other occupations in personal service","135","133","137","140","117","139",
"Other occupations in protective service","511","469","526","498","574","625",
"Other sales and related occupations","1251","1026","1107","1079","1004","1028",
"Other technical inspectors and regulatory officers","86","72","76","88","71","90",
"Other technical occupations in health care (except dental)","1379","1530","1472","1635","1608","1638",
"Other transport equipment operators and related workers","679","684","572","543","462","479",
"Paraprofessional Occupations in Law, Social Services, Education and Religion","1120","1110","1136","1096","1270","1390",
"Pharmacists, dietitians and nutritionists","64","72","53","76","76","72",
"Photographers, graphic arts technicians & technical occupations in motion pictures, broadcasting & the performing arts","109","120","107","105","127","116",
"Physical science professionals","17","8","13","6","13","11",
"Physicians, dentists and veterinarians","12","16","13","14","14","7",
"Plumbers, pipefitters and gas fitters","299","281","306","303","275","297",
"Police officers and firefighters","1510","1514","1501","1434","1362","1465",
"Policy and program officers, researchers and consultants","157","151","176","186","175","172",
"Primary Production Labourers","424","434","500","530","533","569",
"Printing machine operators and related occupations","108","68","67","87","66","68",
"Printing press operators, commercial divers & other trades & related occupations, NEC","86","82","56","62","53","74",
"Psychologists, social workers, counsellors, clergy & probation officers","256","297","263","247","221","244",
"Public works and other labourers, NEC","538","416","445","519","457","415",
"Recording, scheduling and distributing occupations","883","845","805","781","683","766",
"Retail salespersons and sales clerks","2047","2020","1767","1582","1586","1878",
"Sales and service supervisors","411","316","485","513","514","520",
"Sales representatives, wholesale trade","92","68","65","88","74","75",
"Sales, marketing and advertising managers","40","32","28","37","27","22",
"Secondary and elementary school teachers & counsellors","1203","1250","1382","1470","1414","1677",
"Secretaries, recorders and transcriptionists","124","121","113","92","90","93",
"Security guards and related occupations","446","450","448","443","384","502",
"Stationary engineers & power station & system operators","47","36","35","22","28","29",
"Supervisors, assembly and fabrication","102","63","59","70","98","119",
"Supervisors, logging and forestry","4","2","2","7","3","3",
"Supervisors, mining, oil and gas","9","5","9","5","5","2",
"Supervisors, processing occupations","77","63","73","101","97","117",
"Supervisors, railway and motor transportation operations","24","22","15","15","19","27",
"Technical occupations in architecture, drafting, surveying & mapping","39","40","31","34","35","20",
"Technical occupations in civil, mechanical & industrial engineering","104","63","94","73","60","55",
"Technical occupations in dental health care","11","16","5","12","8","10",
"Technical occupations in electronics and electrical engineering","208","160","205","176","174","217",
"Technical occupations in libraries, archives, museums & galleries","45","45","47","49","63","43",
"Technical occupations in life sciences","197","215","219","187","179","173",
"Technical occupations in personal service","7","10","8","14","11","14",
"Technical occupations in physical sciences","79","67","66","73","54","54",
"Technical sales specialists, wholesale trade","60","29","34","35","25","18",
"Therapy and assessment professionals","73","83","70","74","74","61",
"Tour and recreational guides and amusement occupations","67","76","63","50","54","43",
"Trades helpers and labourers","1632","1399","1567","1561","1438","1498",
"Train crew operating occupations","52","47","42","50","60","62",
"Transportation officers and controllers","58","63","43","67","54","45",
"Underground miners, oil & gas drillers & related workers","129","126","96","66","82","61",
"University professors and assistants","34","32","43","61","51","33",
"Upholsterers, tailors, shoe repairers, jewellers & related occupations","24","26","28","19","27","35",
"Writing, translating and public relations professionals","22","15","30","31","16","22",
"Total","56672","55525","54430","53688","51570","57368",

Data downloaded from WSIB By The Numbers statistical report. Data generated as at 2017-03-31.
Report downloaded on 2017-11-04 01:39:19
